Sampleage	Ct_Actin_SOD1	Ct_SOD1	Ct_Actin_Dome_Apid1	Ct_Dome	Ct_Apid1	Ct_Actin_Relish	Ct_Relish
Owb_02_16	16.63	18.01	16.39	22.31	17.85	16.77	22.38
Owb_02_16	16.41	17.81	16.14	22.78	17.67	16.78	22.25
Owb_02_16	16.40	17.57	16.41	22.52	17.59	16.39	22.10
Owb_02_16	15.55	17.90	15.44	23.20	18.84	15.52	21.10
Owb_02_16	15.49	17.78	15.42	23.02	18.44	15.44	21.48
Owb_02_16	15.43	17.75	15.44	23.82	18.45	15.33	20.99
Owb_02_16_weak	15.60	17.56	15.54	27.05	27.86	15.84	20.97
Owb_02_16_weak	15.65	17.39	15.65	27.05	28.09	15.67	20.97
Owb_02_16_weak	15.84	17.52	15.92	27.31	28.09	16.05	21.16
Owb_02_16	15.82	17.85	15.15	23.64	18.22	16.00	21.05
Owb_02_16	15.45	17.68	15.20	23.56	18.46	15.95	21.07
Owb_02_16	15.54	18.00	15.35	23.21	18.63	15.56	20.97
Owb_02_16	15.92	19.36	14.97	24.05	17.56	14.53	21.69
Owb_02_16	15.87	19.46	14.87	24.06	17.61	14.72	21.32
Owb_02_16	15.77	19.50	15.00	24.07	17.61	14.68	21.41
Owb_03_08	16.77	17.25	17.32	22.81	17.80	17.08	20.75
Owb_03_08	17.00	17.13	17.09	22.88	17.77	17.05	20.99
Owb_03_08	16.89	17.15	17.24	23.00	17.81	16.90	21.00
Owb_03_08	16.96	17.74	17.48	22.86	19.30	16.04	21.77
Owb_03_08	17.33	17.90	17.31	23.31	19.16	15.72	22.20
Owb_03_08	17.34	17.46	17.24	23.20	19.06	15.71	22.23
Owb_03_08_weak	17.78	17.78	27.75	23.20	19.34	17.09	21.72
Owb_03_08_weak	17.69	17.82	27.32	23.08	19.32	16.80	22.02
Owb_03_08_weak	17.79	18.17	27.46	23.06	19.13	16.67	22.05
Owb_03_08	17.91	17.81	18.29	22.95	18.77	16.69	20.79
Owb_03_08	17.82	17.89	18.01	23.00	18.72	16.80	21.04
Owb_03_08	17.55	17.87	18.05	23.18	19.16	16.74	21.23
Owb_03_08	16.76	17.44	16.79	22.53	18.52	14.80	25.57
Owb_03_08	16.33	17.38	16.64	22.48	18.75	14.97	25.30
Owb_03_08	16.45	17.07	16.58	22.42	18.73	15.05	25.34
Owb_Nb_03_28	20.52	18.69	25.95	24.08	21.40	20.52	24.34
Owb_Nb_03_28	20.31	18.45	25.99	24.39	21.38	20.87	24.52
Owb_Nb_03_28	20.39	18.44	26.01	24.23	21.37	20.71	24.58
Owb_Nb_03_28	16.98	17.66	16.89	23.26	19.76	17.64	22.24
Owb_Nb_03_28	17.31	17.55	16.78	23.04	19.84	17.70	22.30
Owb_Nb_03_28	16.98	17.52	16.50	23.05	19.43	17.44	22.20
Owb_Nb__03_28_weak	28.49	17.50	27.74	23.40	18.42	17.69	22.74
Owb_Nb_03_28_weak	28.68	17.45	27.70	23.41	18.07	17.64	22.79
Owb_Nb_03_28_weak	28.57	17.49	27.82	23.21	18.16	17.70	23.08
Owb_Nb_03_28	17.31	28.78	16.72	25.29	23.12	17.56	20.83
Owb_Nb_03_28	17.28	28.75	16.78	25.68	23.10	17.35	20.88
Owb_Nb_03_28	17.41	28.50	16.81	25.33	23.13	17.38	21.09
Owb_Nb_03_28	16.72	17.98	26.46	27.98	28.31	17.53	22.01
Owb_Nb_03_28	16.58	17.99	26.21	28.13	28.49	17.33	21.89
Owb_Nb_03_28	16.50	17.95	26.30	28.00	28.06	17.34	21.84
Nb_04_28	17.58	19.40	16.87	23.71	20.35	16.99	21.64
Nb_04_28	17.09	19.09	16.77	23.22	20.19	16.72	21.27
Nb_04_28	17.28	18.98	16.65	23.12	20.16	16.69	21.34
Nb_04_28	17.26	18.85	16.34	23.40	20.49	21.42	21.76
Nb_04_28	17.10	18.98	16.20	23.43	20.41	21.33	20.92
Nb_04_28	16.79	18.59	16.11	23.38	20.40	21.36	21.38
Nb_04_28	17.34	25.96	16.94	23.52	20.08	16.68	21.64
Nb_04_28	17.44	26.21	16.84	23.09	19.99	16.78	21.24
Nb_04_28	17.69	26.38	16.89	23.18	19.93	16.89	21.31
