Sampleage	Ct_Actin_SOD1	Ct_SOD1	Ct_Actin_Dome_Apid1	Ct_Dome	Ct_Apid1	Ct_Actin_Relish	Ct_Relish
0d_J	16.41	20.07	16	23.67	25.53	16.6	22.04
0d_J	16.39	20.07	16.06	23	25.66	16.68	23.22
0d_J	16.13	20.12	15.88	23.43	25.58	16.44	22.74
3d_J	17.36	20.39	17.74	24.33	22.54	17.63	22.62
3d_J	17.12	20.32	17.63	23.43	22.45	17.59	23.36
3d_J	17.31	20.23	17.63	23.36	22.31	17.94	23.49
6d_J	16.51	19.84	16.85	24.11	20.71	16.5	22.41
6d_J	16.13	19.36	16.67	23.27	20.82	16.47	22.03
6d_J	16.07	19.34	16.45	23.63	20.64	16.6	22.63
8d_J	19.73	19.9	16.58	23.62	20.18	18.06	21.72
8d_J	19.69	19.78	16.7	23.52	20.32	17.45	23.2
8d_J	19.6	19.74	18.34	23.39	20.23	17.54	24.96
10d_J	16.31	19.94	16.55	23.31	19.07	16.81	21.23
10d_J	16.33	19.71	16.86	23.13	19.19	16.75	21.76
10d_J	16.29	19.8	16.38	23.09	19.06	16.51	21.92
12d_J	16.58	19.49	16.44	23.76	21.18	16.13	21.2
12d_J	16.58	19.77	16.59	23.58	21.2	16.31	21.85
12d_J	16.49	19.2	16.33	23.51	21.1	16.26	21.52
16d_J	16.37	18.45	16.08	22.96	19.4	15.25	20.3
16d_J	16.32	18.43	15.87	22.66	19.31	15.21	20.5
16d_J	16.16	18.47	15.68	22.6	19.28	15.73	20.42
18d_J	17.22	19.29	17.13	23.98	19.91	16.77	21.52
18d_J	17.34	19.08	17.13	23.71	19.76	16.76	21.58
18d_J	17.33	19.08	17.17	23.8	19.79	18.86	21.64
21d_J	16.68	18.84	15.77	22.32	19.62	15.48	19.92
21d_J	16.39	18.75	15.82	22.03	19.58	15.89	20.13
21d_J	16.29	18.6	15.92	22	19.59	15.7	20.26
25d_J	16.61	18.76	16.11	21.78	16.32	16.05	19.72
25d_J	16.43	18.9	15.94	21.61	16.33	15.96	20.42
25d_J	16.5	18.75	15.93	21.54	16.46	16.29	20.09
