Sampleage	Ct_Actin_SOD1	Ct_SOD1	Ct_Actin_Dome_Apid1	Ct_Dome	Ct_Apid1	Ct_Actin_Relish	Ct_Relish
0d_O	16.52	19.82	16.07	23.77	25.72	16.28	22.66
0d_O	16.46	19.81	16.07	23.53	25.83	16.34	22.39
0d_O	16.32	19.73	16.08	23.6	25.87	16.25	22.01
3d_O	19	19.76	18.51	25.77	23.44	18.76	23.94
3d_O	19.04	19.57	18.56	25.56	23.29	18.66	24.13
3d_O	19.14	20.69	18.56	25.32	23.26	18.62	24.34
6d_O	16.51	18.83	16.07	23.92	20.85	16.29	21.51
6d_O	16.89	18.83	16.12	23.54	20.82	16.28	21.51
6d_O	16.58	18.79	16.07	23.95	20.75	16.33	21.76
8d_O	17.33	19.5	16.84	24.26	20.42	17	22.32
8d_O	17.24	19.27	17.13	23.98	20.5	16.98	22.31
8d_O	17.47	19.25	16.96	23.97	20.48	17.32	22.54
10d_O	16.36	18.56	16.07	23.05	18.56	16.13	20.4
10d_O	16.22	18.65	15.86	22.78	18.63	15.86	20.39
10d_O	16.29	18.45	15.77	22.78	18.7	15.99	20.61
12d_O	17.88	20.18	18.23	25.13	21.71	17.97	23.38
12d_O	17.83	20.1	18.29	25.17	21.54	17.97	23.5
12d_O	17.71	20.14	18.12	25.18	21.42	17.93	23.1
14d_O	16.03	19.68	16.57	23.56	19.82	15.87	21.31
14d_O	16.03	19.01	16.32	23.35	19.75	16.01	21.34
14d_O	16.16	19.02	16.31	23.42	19.61	15.93	21.36
16d_O	16.2	18.32	16.67	23.65	19.64	16.2	21.13
16d_O	16.36	18.32	16.8	23.01	19.72	16.29	20.81
16d_O	16.33	18.32	16.78	23.52	19.69	16.42	21.1
18d_O	16.36	18.78	16.8	23.68	19.06	16.33	21.5
18d_O	16.56	18.69	16.86	23.5	19.15	16.59	21.58
18d_O	16.53	18.65	17.29	23.4	19.17	16.6	21.72
21d_O	15.86	17.99	16.23	22.27	18.64	15.88	19.42
21d_O	15.74	17.92	15.99	22.09	18.7	15.72	19.62
21d_O	15.76	17.85	16.37	21.76	18.79	15.69	19.88
25d_O	15.03	18.05	15.42	21.54	18.84	20.77	19.31
25d_O	15.15	18.05	16.31	21.64	18.84	21.08	19.51
25d_O	14.89	17.99	15.68	21.55	18.77	20.78	19.31
