Sampleage	Ct_Actin_SOD1	Ct_SOD1	Ct_Actin_Dome_Apid1	Ct_Dome	Ct_Apid1	Ct_Actin_Relish	Ct_Relish
0d	16.52	19.82	16.07	23.77	25.72	16.28	22.66
0d	16.46	19.81	16.07	23.53	25.83	16.34	22.39
0d	16.32	19.73	16.08	23.6	25.87	16.25	22.01
3d_Aug	16.04	18.76	16.28	23.05	20.43	21.67	20.88
3d_Aug	15.93	18.55	16.49	22.8	20.6	21.39	21.02
3d_Aug	16.08	18.88	16.44	22.89	20.26	21.3	21.15
6d_Aug	18.31	19.22	18.69	25.67	24.97	23.94	21.24
6d_Aug	18.46	19.11	18.83	24.88	24.96	24.35	21.47
6d_Aug	18.44	19.05	18.96	25.45	24.88	24.08	21.83
14d_Aug	20.45	18.88	20.75	23.74	21.9	25.15	21.82
14d_Aug	20.53	18.86	20.91	23.54	22.16	24.98	21.67
14d_Aug	20.68	19.02	20.97	23.4	21.78	25.64	22.03
21d_Aug	16.4	17.94	16.84	22.64	18.98	23	20.35
21d_Aug	16.51	17.87	17.59	22.38	19.07	22.72	20.32
21d_Aug	16.46	17.86	17.46	22.32	19.11	22.82	20.43
