Sampleage	Ct_Actin_SOD1	Ct_SOD1	Ct_Actin_Dome_Apid1	Ct_Dome	Ct_Apid1	Ct_Actin_Relish	Ct_Relish
0d_1	18.11	20.19	18.11	24.26	25.79	18.11	23.54
0d_1	18.17	19.97	18.17	23.96	25.75	18.17	24.98
0d_1	17.96	20.36	17.96	23.91	25.74	17.96	24.37
0d_2	17.03	20	17.03	23.83	25.64	17.03	22.25
0d_2	16.94	19.6	16.94	23.52	25.6	16.94	23.11
0d_2	16.95	19.69	16.95	23.28	25.52	16.95	23.34
0d_3	16.88	19.53	16.88	23.03	21.1	16.88	20.56
0d_3	17.01	19.18	17.01	22.86	21.11	17.01	22.09
0d_3	16.96	19.51	16.96	22.82	20.94	16.96	22.56
0d_4	17.19	19.48	17.19	23.21	25.92	17.19	22.22
0d_4	17.29	19.45	17.29	23.22	26.01	17.29	23.18
0d_4	17.34	19.29	17.34	23.21	25.96	17.34	23.85
Nurses1	19.06	19.93	19.06	24.15	21.87	19.06	22.9
Nurses1	18.58	19.83	18.58	24.07	21.65	18.58	23.67
Nurses1	18.58	19.6	18.58	24.08	21.67	18.58	23.76
Nurses2	18.4	20.35	18.4	24.36	21.49	18.4	22.05
Nurses2	18.62	19.93	18.62	24.26	21.39	18.62	22.99
Nurses2	18.39	19.36	18.39	24.09	21.23	18.39	22.59
Nurses3	18.73	19.64	18.73	24.32	21.27	18.73	22.2
Nurses3	18.63	19.62	18.63	24.12	21.01	18.63	22.66
Nurses3	18.65	19.63	18.65	23.98	20.85	18.65	23.17
Foragers1	18.46	19.46	18.46	23.84	19.52	18.46	21.57
Foragers1	18.49	19.21	18.49	23.82	19.41	18.49	22.32
Foragers1	18.51	20.1	18.51	23.73	19.36	18.51	22.5
Foragers2	17.91	18.85	17.91	22.81	19.05	17.91	20.69
Foragers2	18.13	18.67	18.13	22.97	19.13	18.13	21.6
Foragers2	17.96	18.69	17.96	23.02	19.12	17.96	22
Foragers3	19.1	19.12	19.1	24.21	18.89	19.1	22.31
Foragers3	18.71	19	18.71	23.98	19.12	18.71	23.17
Foragers3	18.96	18.91	18.96	23.86	18.84	18.96	23.73
