File number,File title,,Column,Meaning,
,,1,Sampleage,Biological stage label,
1,"ct_values_raw_X.txt (X=A, B, C, D, E)",2,Ct_Actin_SOD1,Actin Ct used for SOD1 normalization,
,,3,Ct_SOD1,Raw Ct of SOD1,
,,4,Ct_Actin_Dome_Apid1,Actin Ct for Dome & Apid1,
,,5,Ct_Dome,Raw Ct of Dome,
,,6,Ct_Apid1,Raw Ct of Apid1,
,,7,Ct_Actin_Relish,Actin Ct for Relish,
,,8,Ct_Relish,Raw Ct of Relish,
,,,,,
2,ct_values_raw_A.txt,,"Raw, sample name",Meaning,
,,1,Owb_02_16,Overwintered honey bees collected on February 16 (02_16).,
,,2,Owb_02_16_weak,"Same date as Sample 1, but the colony later exhibited weak performance.",
,,3,Owb_03_08,Overwintered honey bees collected on March 8 (03_08).,
,,4,Owb_03_08_weak,"Same date as Sample 3, but the colony later exhibited weak performance.",
,,5,Owb_Nb_03_28,Overwintered colony with newly emerged generation bees collected on March 28 (03_28).,
,,6,Owb_Nb__03_28_weak,"Same date as Sample 6, but the colony performance was weak.",
,,7,Nb_04_28,Nurse bees collected on April 28 (04_28).,
,,8,Nb_04_28_weak,"Same date as Sample 7, but the colony performance was weak.",
,,9,Fb_04_28,Forager bees collected on April 28 (04_28).,
,,10,Swb_05_20,Bees collected from swarmed colonies on May 20 (05_20).,
,,11,0d_05_16,Newly emerged bees (< 20 h old) collected on May 16 (05_16).,
,,,,,
3,ct_values_raw_B.txt,,"Raw, sample name",Meaning,
,,1,0d_J,Newly emerged bees (< 20 h old) collected in May 2024 (different dates).,
,,2,3d_J,Marked bees of known chronological age (3 days) were collected in May 2024 (on different dates),
,,3,6d_J,Marked bees of known chronological age (6 days) were collected in May 2024 (on different dates),
,,4,8d_J,Marked bees of known chronological age (8 days) were collected in May 2024 (on different dates),
,,5,10d_J,Marked bees of known chronological age (10 days) were collected in May 2024 (on different dates),
,,6,12d_J,Marked bees of known chronological age (12 days) were collected in May 2024 (on different dates),
,,7,16d_J,Marked bees of known chronological age (16 days) were collected in May 2024 (on different dates),
,,8,18d_J,Marked bees of known chronological age (18 days) were collected in May 2024 (on different dates),
,,9,21d_J,Marked bees of known chronological age (21 days) were collected in May 2024 (on different dates),
,,10,25d_J,Marked bees of known chronological age (25 days) were collected in May 2024 (on different dates),
,,11,_J,RNA extraction and analysis were done in January (J),
,,,,,
4,ct_values_raw_C.txt,,"Raw, sample name",Meaning,
,,1,0d_O,Newly emerged bees (< 20 h old) collected in May 2024 (different dates).,
,,2,3d_O,Marked bees of known chronological age (3 days) were collected in May 2024 (on different dates),
